nucleus_id,x,y,area_px,equivalent_diameter_px,solidity,eccentricity
1,515.1826524570752,28.75814091178212,3378,65.58203398885536,0.9092866756393001,0.7763775419094118
2,641.7328767123288,2.1986301369863015,146,13.63425735166143,0.9358974358974359,0.9707431057592332
3,1131.3302752293578,2.9908256880733943,218,16.66031874701878,0.9008264462809917,0.9609570395266401
4,1668.3619489559164,7.6287703016241295,431,23.42576026046658,0.9663677130044843,0.7884066444888156
5,1555.4291799787009,47.64643237486688,939,34.57704343211429,0.9750778816199377,0.3788121094556041
6,1502.3625057577153,86.52141870105942,2171,52.57568878883127,0.9455574912891986,0.7135238033068192
7,774.1032656663724,176.51597528684908,5665,84.92880560166083,0.8876527734252585,0.8789748772092233
8,1636.9858974358974,163.88846153846154,1560,44.56740613707347,0.982367758186398,0.21976782667126324
9,627.303893637227,161.81196581196582,1053,36.61586050615398,0.975,0.339843425504079
10,321.78551532033424,207.64206128133705,1436,42.75946662716566,0.8941469489414695,0.5202065429516937
11,146.69962453066333,201.2177722152691,799,31.895429080722444,0.9720194647201946,0.5295619673628684
12,1575.9245283018868,231.27882599580713,477,24.64417299969047,0.9616935483870968,0.390697690779388
13,795.2236503856041,242.32390745501286,1556,44.510231763134115,0.9743268628678773,0.40466816110857645
14,1643.6959114139693,247.4118398637138,2348,54.67692795904102,0.9738697635835752,0.29694313522189847
15,1163.3648170011807,252.0236127508855,847,32.839517267930155,0.9657924743443558,0.5902210105642205
16,367.3632958801498,283.85393258426967,267,18.437867513470433,0.8369905956112853,0.8592388226766602
17,1111.1188769414575,296.72939068100357,1674,46.167120311826494,0.978375219170076,0.4246625098166663
18,353.3536585365854,305.3109756097561,328,20.435815879801165,0.7354260089686099,0.8455675785149154
19,564.5034679722562,324.11015911872704,2451,55.86331644420947,0.9784431137724551,0.34831443398561435
20,391.90191897654586,331.1194029850746,1407,42.32550105364819,0.8821316614420063,0.6266876492703334
21,234.9332860184528,343.4819020581973,2818,59.89982501697053,0.9853146853146854,0.3066334541544792
22,51.25583982202447,333.22691879866517,899,33.83256346653194,0.9718918918918918,0.3829759733429109
23,1034.6166861143524,363.04084014002336,1714,46.715442625282584,0.9749715585893061,0.5020018143876189
24,1250.4982238010657,429.07548845470694,2252,53.54750652218632,0.9644539614561027,0.25471337887906775
25,832.1902390438247,424.2340637450199,1004,35.75377606511099,0.9766536964980544,0.30226281736492
26,1040.0389895661724,433.33003844041735,1821,48.15152345422449,0.9201616978271855,0.38580409988984243
27,737.3305588585018,434.30618311533885,1682,46.27730452656619,0.9762042948345908,0.3582742329069421
28,616.9034833091437,441.6161103047896,1378,41.88703967392604,0.9731638418079096,0.13047645170416478
29,1495.2779403159743,453.7987126974839,1709,46.64725481689563,0.9721274175199089,0.38700305989797457
30,1684.885611077664,486.6062612883805,1661,45.98750791035654,0.9759106933019976,0.29404960990466394
31,655.2086330935252,492.84892086330933,1112,37.62768095093692,0.8917401764234162,0.473669531827165
32,1293.3609907120742,495.4699690402477,1615,45.34624421875849,0.9811664641555286,0.5925621358266783
33,96.755873340143,517.2053115423902,1958,49.92998125967452,0.9175257731958762,0.715025373282007
34,591.2815230961298,535.6785268414482,1602,45.16336735304101,0.9732685297691372,0.46240372678799035
35,993.4192415730337,564.4403089887641,1424,42.580431088739246,0.9070063694267516,0.6847368490054998
36,1593.460339943343,561.7828139754486,2118,51.929965874715094,0.9086229086229086,0.5444542635162035
37,1565.3536585365853,557.5975609756098,82,10.217907939900583,0.8541666666666666,0.8075465697134551
38,69.99837662337663,570.8847402597403,616,28.00563442518059,0.9520865533230294,0.6359637515468705
39,952.3549222797927,602.506908462867,1158,38.39806496170502,0.9788672865595942,0.38141854101425243
40,1472.312133072407,636.0737116764514,3066,62.48001635849665,0.9282470481380564,0.8716367587114965
41,1781.75,623.60546875,256,18.0540666735282,0.9552238805970149,0.5930576955375417
42,9.31728045325779,650.1628895184136,706,29.98177977677484,0.9764868603042877,0.7733872724130196
43,977.0515050167224,726.8220735785953,1495,43.62903986313552,0.9771241830065359,0.4582345174476313
