nucleus_id,x,y,area_px,equivalent_diameter_px,solidity,eccentricity,pca_feat_0,pca_feat_1,pca_feat_2,pca_feat_3,pca_feat_4,pca_feat_5,pca_feat_6,pca_feat_7,pca_feat_8,pca_feat_9,pca_feat_10,pca_feat_11,pca_feat_12,pca_feat_13,pca_feat_14,pca_feat_15,pca_feat_16,pca_feat_17,pca_feat_18,pca_feat_19,pca_feat_20,pca_feat_21,pca_feat_22,pca_feat_23,pca_feat_24,pca_feat_25,pca_feat_26,pca_feat_27,pca_feat_28,pca_feat_29,pca_feat_30,pca_feat_31
10,321.78551532033424,207.64206128133705,1436,42.75946662716566,0.8941469489414695,0.5202065429516937,-15.785701318977411,35.11346083650656,-16.92166082784664,22.117516790226322,8.739292007045405,-3.2207718819798803,4.096777999002895,-5.100179699157489,-0.2837594464996606,0.29162974695226285,0.5339194199057161,-0.47229962930961134,2.700130628161785,-0.6194763170248162,-1.7265423925530559,-0.027496556251197454,-0.3234504167136646,0.5027292224071084,-0.3392039468905521,0.5348900001596479,0.9652955411218606,-1.0524837100516602,-0.9805170529876007,1.8624391873497503,-0.0767200296479789,-0.20218963903133563,-0.2858649488062063,0.37857787759385,-2.0679602611138836,-0.6732276160249089,0.6932240210891436,-0.1686635130653699
11,146.69962453066333,201.2177722152691,799,31.895429080722444,0.9720194647201946,0.5295619673628684,181.71243105065753,6.065958681924565,18.406477371036164,-41.426477250453544,-2.5833088917180738,0.6815795322705467,-2.5061251582143838,2.0587267658693738,2.7101781315726754,0.15334569157533484,1.6731649839634504,2.6771296061575716,0.04835922273880785,1.4437180984392592,2.1422610036543883,-2.8680729448752804,-0.42274551446646036,1.5867245973563682,-0.591661014496415,1.7433818727023893,-0.38222631224314435,1.4251417145166645,0.6715427608102699,-0.3562065647807319,-0.46558729962283213,-0.06105676622652519,-0.4095118021387023,-0.19947787825443025,-0.9210284457480357,0.49210270455584226,-0.0029383132698204005,-0.014108967355125266
12,1575.9245283018868,231.27882599580715,477,24.64417299969047,0.9616935483870968,0.390697690779388,159.12632077154976,-60.56326113440373,-21.874178349799383,-28.810683248960217,-20.483963658529387,-0.6812503573321597,3.455557893622333,9.142902274038967,-1.9267327688603515,-5.150923468721942,-0.08036296598127272,-2.1030303289128347,0.10778475455146523,0.319296223093501,-0.17997970626117124,-0.6892053977874948,0.2567094157031636,-0.9277758528986652,-0.4922127336632738,-0.21380955871184656,0.9909568735714372,-0.02989734082524809,-0.4054598553984481,1.0767091652495466,-0.3537528005740493,-0.5764536104462802,0.2992696416371607,0.14061224567421918,-0.28900039198283267,-0.10057682534918583,-0.10343979359279935,-0.42945471658167766
13,795.2236503856041,242.3239074550129,1556,44.51023176313412,0.9743268628678772,0.4046681611085764,-22.190847012651613,15.106260660477663,-13.004069098331303,15.34773361815728,-4.046690576879698,7.585111007526606,-0.9264166984872134,-5.480737376048651,2.3689095311572914,-1.6517666928400339,3.3628060749381907,-1.118452928909365,1.8544223938737008,-1.4604900563447845,-0.06895706446571878,-1.0228307356625936,-0.46494673835854344,-0.26729377745236954,0.051139445117973144,-0.32724287301036753,-1.1850013315552805,1.8377494455981178,-1.3203130640407506,-0.10449317189667649,-0.5334541247978274,1.431525668396714,0.6101094291806821,-1.5709579206466604,-0.3349646301533825,0.1412407677332838,-0.06859122959347294,-0.19640377748152033
14,1643.6959114139693,247.4118398637138,2348,54.67692795904102,0.9738697635835752,0.2969431352218984,-123.65282601480348,-15.469886993416543,-17.23395679025788,-11.29583258941083,13.85295479554884,-4.452607033329824,2.1129125019119828,-0.3942098133649412,-0.3374042339348178,-1.9648255464204014,2.816029687943993,-0.23318264468084493,3.641227454073065,-1.2365859605989318,2.3448384188254034,-0.39276483003688334,-0.6655827777615064,2.376120437171018,-3.3080299342138235,-1.548855227620092,-0.43667051700246107,-1.0363725490052473,0.5314058231338348,0.6300673140332176,2.3816412443945376,0.005159331982509427,-0.8170106844263726,-0.07568504306998743,0.3183488533535211,0.37964612525580693,-1.4502079298690629,0.3495673871304929
15,1163.3648170011809,252.0236127508855,847,32.839517267930155,0.9657924743443558,0.5902210105642205,-32.06868004242566,-111.09747343691997,58.60856223102896,42.950377499200634,8.257008559550808,-7.223955783367667,-6.5831162863451045,1.327113710501117,-0.20543100411884424,-5.278753768107523,-0.8341239831140402,4.905718408328115,0.7685466408357352,-0.05967700756022102,-0.4262851834319677,1.127764691815819,-1.052146117486424,1.0113177284991806,-0.043949730914161086,-0.5028523127379934,-0.15035785907369092,1.0010585326002686,-0.30289315323977334,0.13204558620222343,-0.5590332197265546,0.7674654377560851,-0.5555056741591423,0.26378880764529805,-0.3920740483102732,-0.2654039673803468,-0.09192891752781945,-0.6410937930843773
16,367.3632958801498,283.85393258426967,267,18.437867513470437,0.8369905956112853,0.8592388226766602,54.75033741727105,0.8993017847366805,-24.740161960320645,11.759214381909407,6.717872320652902,9.587774637003944,-3.5327773591596063,-1.0209520705908561,-1.1092810837537384,0.8440796783033264,-1.1519749305811955,0.37961125159554177,-0.4459264745547245,1.0776048563885159,-1.3140448922007208,-0.12271917012061477,-0.15393197599008562,0.4295076494978355,-1.114131522968501,-0.179463571444131,-0.6099567860425923,-0.1925302200156377,-0.46719043839264407,-0.486053885601745,-0.640381254813158,0.421276127207797,0.022396341272492376,1.2970297652507699,0.9710633243254626,0.15051577994770793,1.1777443698939551,0.07450334670903422
17,1111.1188769414575,296.7293906810036,1674,46.167120311826494,0.978375219170076,0.4246625098166663,-99.08747835256719,-24.151692341505356,20.666605948758917,6.493091733987209,2.0611869038347335,1.6037259253587368,-1.9653238188112063,5.302737474380846,-3.1535598520003556,-1.760692660069671,-2.926176956837363,2.1505636180833494,-0.35876294203801423,0.7599050956756068,0.23667756892429764,-0.3689393874720242,-0.6588331967499738,-0.3530499995642834,-0.07732765487251163,-1.118599178241341,0.09370275411021987,-0.6447314028362298,-0.23020816144447434,-0.2178912627280957,0.7293590645675091,0.23004464735010421,0.07922003684036351,-0.444004993189338,-0.02124649834072212,-0.7149680700612011,0.7218262650985882,-0.1382726317956261
18,353.3536585365854,305.3109756097561,328,20.435815879801165,0.7354260089686099,0.8455675785149154,3.3175074044167485,-27.127883539697354,-26.213361505132905,3.2733346118431013,7.660414389762408,10.384561137570861,-0.6148445136347148,-2.731844367666842,0.010225338115128163,1.1285412343245358,0.3912253865150742,0.5846143847746381,-1.495115576956033,4.671302004339176,-0.40447919214570793,-1.150057894337295,-0.22612748896024115,1.7954478488322965,-0.859339725109726,0.5468054843377868,-0.9194398021697717,-0.8535458864121965,-0.38816841662205925,-0.3905910304346396,-0.523414470030305,0.07939338601408683,0.21914180040451087,0.6432921375430828,0.46818301246419974,-1.0156854895181224,-0.6826182396634994,-0.05938962889376343
19,564.5034679722562,324.11015911872704,2451,55.86331644420947,0.9784431137724552,0.3483144339856143,-177.163618175897,-33.143555147095434,5.846504703813643,-21.978796176115818,0.7419457174076046,-7.819612018454324,-3.928888145489514,1.624484211454717,-5.4275857467409825,1.8504263704919892,0.5814164819652456,-0.6590529754555018,1.2709932204826069,-0.5141266756959346,-0.13017262177380332,-0.7013788611246186,-0.4849828042498841,-1.3114834820870278,-0.5976422250064597,0.6195570929844267,-0.5440627596821865,-0.24843317429464767,-0.32448886150524275,0.371533410404585,-0.5854056009354555,0.6152142350521795,0.5567029736555282,-0.23049784357119643,-0.08672607221683315,0.2030229880127076,0.18927721494839653,0.6119635950190064
20,391.90191897654586,331.1194029850746,1407,42.32550105364819,0.8821316614420063,0.6266876492703334,-43.287454071838134,-46.83685701685434,-10.711681515191835,8.869140532304648,-1.1737809922352291,9.025570934545287,3.035698397834101,-4.009205681493848,2.5787460983493156,2.3351086498379727,-0.010015224228032657,1.002811365678307,1.7103321166532814,0.4839887988758415,0.8767577774669059,1.4952045922873312,0.9263267248529843,0.4453392008692889,-1.4432137757464671,0.17850243887374506,-1.4478325683470732,0.9649837157556986,-1.5867307026572386,0.2603470535971615,-0.18263974602878177,-0.12465889527823702,-0.3286200893969759,0.36201152177719176,0.10695794520933197,1.3870995453030313,0.18179198346648756,0.30854139989932267
21,234.9332860184528,343.4819020581973,2818,59.89982501697053,0.9853146853146854,0.3066334541544792,-150.2682483086373,-28.646796573944798,-22.471132224265045,-21.602817611983234,38.49884035478838,-13.207694360465702,-8.201563452565317,1.7419739307560025,14.806569560932212,-2.314039992113466,-4.523957923521186,-2.504439346436157,1.4822173809667556,2.5586515857715453,-1.2190664576282093,-0.5191341226168938,0.7935952383563949,-1.2483458329441457,0.4495646258570121,-0.43538318054568564,0.1667872123625072,0.3944533042809345,-0.05557256132062615,0.1557770673110496,-0.3934859745735537,-0.12314030950456462,-0.04279601544187211,-0.13634427000646748,0.268215352729317,0.10443088049658472,0.20845971454428888,-0.0771949898640933
22,51.25583982202447,333.2269187986652,899,33.83256346653194,0.9718918918918918,0.3829759733429109,121.63150625398772,-35.69223609367486,12.471105873435837,-2.897609168264511,3.8348709914408468,0.07683204815292893,8.538658471528619,-0.2894387300440214,-0.82669627639434,-5.9478207801585565,0.4534274484212417,-2.0651317996300964,1.8825181877076682,-0.2730535654363157,-0.24595523583198,-1.2484578198561553,-0.9150885158687881,0.5473386788291614,-0.2095802596412413,1.108502510226385,0.33046612131047365,0.2518550390421118,-0.3853942453459971,0.26420911723288315,-0.9622221764913796,0.6886664153239838,0.47400680550467106,0.2783745840946446,0.8331511741777422,-0.6285831750308388,-0.4536147938063564,0.09389134559784987
23,1034.6166861143524,363.04084014002336,1714,46.71544262528258,0.974971558589306,0.5020018143876189,-87.93980956933474,28.029548712150504,8.389982669468534,13.42006332742766,-7.2413111039677664,1.3373103797849082,-2.5836271218672415,4.320910014593286,-0.8646161272625145,-0.054364621841328446,1.1388677531589302,-2.113320077490382,0.24371891155370687,0.28443946864083547,0.04544124552590259,-0.05873570153132033,-2.3536640365157435,-1.8445177691561876,-1.3600792970189268,0.0865530395918994,-0.7856565258277882,-1.3646144880001119,0.5658371398755122,-0.8137203195337107,-0.8080846874505301,-0.9730659488571008,0.03934856888431148,-0.7545373218899976,0.10845302124254541,0.34472131376882337,0.0784575076047796,0.23553704212319979
24,1250.4982238010657,429.0754884547069,2252,53.54750652218632,0.9644539614561028,0.2547133788790677,-97.27223031097984,-64.97596574082486,-17.58800587045059,-23.517562642815555,-1.554752796380445,4.46749985602916,4.245118809301129,-5.835395798599644,-1.063333610160851,0.9439057586891907,0.7065073227869751,-2.1401296534496175,2.668373890146238,1.2317720314130092,0.06254495544357408,2.1207299898702487,-1.4363418293615648,1.2024444269092738,0.2781923550712414,0.6476480711863027,0.4465118824112148,-0.5912877254577449,-0.10586374451012572,-2.178523874376325,-0.021838972806942986,-0.186126651932212,1.0780097499061347,-0.7497414072648764,-1.0847291445079192,-0.02477207948546009,0.7116729667020458,-0.8238956050444282
25,832.1902390438247,424.2340637450199,1004,35.75377606511099,0.9766536964980544,0.30226281736492,116.67119981853845,25.039359679506408,23.590729674423244,-17.171491543589074,7.124383002357348,1.1656658426613897,-0.012090493407843187,-0.23326239531906304,-1.697138589006673,-2.3099620212061733,-2.4076403683364123,-0.9716841621325242,-0.4186234805693295,0.11419512032154981,-1.5013126298341106,0.6488918853866772,-1.6764710609595412,0.37433528695834195,-0.36980558758692034,0.08121622843343049,0.11442611540309576,-0.6920265168997913,0.7553619803070906,-0.3672128617535323,-0.559863688274685,0.014148211374667123,0.17645167972513612,-0.8843487233353112,-0.06284932592892219,-0.15896445486870148,-0.3080124815493835,0.8118005386061297
26,1040.0389895661724,433.33003844041735,1821,48.15152345422449,0.9201616978271856,0.3858040998898424,-118.63520518340137,-108.91672034817378,9.68184512529594,-2.954312645303592,-10.880087981840525,-4.063764913191733,6.585055384196171,-1.501125479310612,-0.9405087974208969,3.826145574521041,-1.11527331203208,1.277814276309362,2.3573239094054577,-0.6661514747502617,-1.1031253061905952,-0.31077167358067886,0.3004999422378666,1.220576712262481,1.5203491158225146,1.470104305985688,0.244777055913574,-0.5218378115835492,0.2042956934656199,-0.018148140994827398,0.4366890260370746,-0.22378988290631097,-0.1840226982718831,0.49624005854157377,0.3279889856947863,-0.10794849704828392,0.28889304992240056,-0.7611652833274472
